event_key|data_source_id|event_id|device_type1_key|authentityid|alarmforevents_id|severity_number|severity|notificationdate|notificationtimestamp|day_in_month|month_number|quarter_number|year|week_number|year_for_week|hour|minute|second|time_key|classname|category|displayname|description|source|eventtype|nttyaddrss7_address|generatedby|elementname|srcobjectid|srcobjectbusinesskey|srcobjectdisplayname|owning_entity|prdctsrs_value|producttype_value|prdctfmly_value|softwareversion|ipaddress|devicename|count
73|172.25.124.232|2139|0|181187|247276|5|Cleared|2015-08-26|2015-08-26 16:44:20|26|8|3|2015|35|2015|16|44|20|60261|WiredWirelessEvent|Routers|10.114.8.10|Port 'GigabitEthernet0/8' is up on device '10.114.8.10'.|10.114.8.10|LINK_UP|10.114.8.10|Wired Switch|GigabitEthernet0/8|187801|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
46|172.25.124.232|2112|0|181181|247255|5|Cleared|2015-08-26|2015-08-26 16:44:20|26|8|3|2015|35|2015|16|44|20|60261|WiredWirelessEvent|Routers|10.114.8.1|Port 'GigabitEthernet2/2' is up on device '10.114.8.1'.|10.114.8.1|LINK_UP|10.114.8.1|Wired Switch|GigabitEthernet2/2|187565|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
53|172.25.124.232|2119|0|181184|247256|5|Cleared|2015-08-26|2015-08-26 16:44:20|26|8|3|2015|35|2015|16|44|20|60261|WiredWirelessEvent|Routers|10.114.8.5|Port 'TenGigabitEthernet0/0/0' is up on device '10.114.8.5'.|10.114.8.5|LINK_UP|10.114.8.5|Wired Switch|TenGigabitEthernet0/0/0|187741|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
54|172.25.124.232|2120|0|181184|247257|5|Cleared|2015-08-26|2015-08-26 16:44:20|26|8|3|2015|35|2015|16|44|20|60261|WiredWirelessEvent|Routers|10.114.8.5|Port 'TenGigabitEthernet0/1/0' is up on device '10.114.8.5'.|10.114.8.5|LINK_UP|10.114.8.5|Wired Switch|TenGigabitEthernet0/1/0|187726|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
82|172.25.124.232|2148|0|181188|247279|5|Cleared|2015-08-26|2015-08-26 16:44:20|26|8|3|2015|35|2015|16|44|20|60261|WiredWirelessEvent|Switches and Hubs|10.114.8.13|Port 'null' is up on device '10.114.8.13'.|10.114.8.13|LINK_UP|10.114.8.13|Wired Switch|Unknown Interface|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
81|172.25.124.232|2147|0|181188|247278|5|Cleared|2015-08-26|2015-08-26 16:44:20|26|8|3|2015|35|2015|16|44|20|60261|WiredWirelessEvent|Switches and Hubs|10.114.8.13|Port 'Vlan1' is up on device '10.114.8.13'.|10.114.8.13|LINK_UP|10.114.8.13|Wired Switch|Vlan1|187835|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
61|172.25.124.232|2127|0|181190|247272|5|Cleared|2015-08-26|2015-08-26 16:44:20|26|8|3|2015|35|2015|16|44|20|60261|WiredWirelessEvent|Switches and Hubs|10.114.8.17|Port 'Vlan1' is up on device '10.114.8.17'.|10.114.8.17|LINK_UP|10.114.8.17|Wired Switch|Vlan1|187971|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
62|172.25.124.232|2128|0|181190|247273|5|Cleared|2015-08-26|2015-08-26 16:44:20|26|8|3|2015|35|2015|16|44|20|60261|WiredWirelessEvent|Switches and Hubs|10.114.8.17|Port 'null' is up on device '10.114.8.17'.|10.114.8.17|LINK_UP|10.114.8.17|Wired Switch|Unknown Interface|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
65|172.25.124.232|2131|0|181189|247274|5|Cleared|2015-08-26|2015-08-26 16:44:20|26|8|3|2015|35|2015|16|44|20|60261|WiredWirelessEvent|Switches and Hubs|10.114.8.14|Port 'Vlan1' is up on device '10.114.8.14'.|10.114.8.14|LINK_UP|10.114.8.14|Wired Switch|Vlan1|187889|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
66|172.25.124.232|2132|0|181189|247275|5|Cleared|2015-08-26|2015-08-26 16:44:20|26|8|3|2015|35|2015|16|44|20|60261|WiredWirelessEvent|Switches and Hubs|10.114.8.14|Port 'null' is up on device '10.114.8.14'.|10.114.8.14|LINK_UP|10.114.8.14|Wired Switch|Unknown Interface|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
57|172.25.124.232|2123|0|181191|247270|5|Cleared|2015-08-26|2015-08-26 16:44:20|26|8|3|2015|35|2015|16|44|20|60261|WiredWirelessEvent|Switches and Hubs|10.114.8.18|Port 'Vlan1' is up on device '10.114.8.18'.|10.114.8.18|LINK_UP|10.114.8.18|Wired Switch|Vlan1|188027|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
58|172.25.124.232|2124|0|181191|247271|5|Cleared|2015-08-26|2015-08-26 16:44:20|26|8|3|2015|35|2015|16|44|20|60261|WiredWirelessEvent|Switches and Hubs|10.114.8.18|Port 'null' is up on device '10.114.8.18'.|10.114.8.18|LINK_UP|10.114.8.18|Wired Switch|Unknown Interface|0|Unknown|NA|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|1
