39|172.25.124.244|3|188306|181183|Module|module 2|WS-SVC-MWAM-1 3 ports MWAM Module Rev. 3.0|181183_10.114.8.3|Module|cevCat6kMWAMBlade|Cisco Systems|SAD081000GR|WS-SVC-MWAM-1|Unknown|Unknown|ok|0|3|0|\N|1|1899-12-31|2199-12-31
40|172.25.124.244|3|188307|181183|Module|sub-module of 4|WS-F6k-PWR Inline Power Module Rev. 2.0|181183_10.114.8.3|Module|cevCat6kWsf6kVpwr|Unknown|Unknown|Unknown|Unknown|Unknown|missing|0|0|0|\N|1|1899-12-31|2199-12-31
41|172.25.124.244|3|188308|181183|Module|module 5|WS-SUP720-3B 2 ports Supervisor Engine 720 Rev. 5.3|181183_10.114.8.3|Module|cevCat6kWsSup720Base|Cisco Systems|SAL1104F8H1|WS-SUP720-3B|V03|Unknown|ok|0|2|0|\N|1|1899-12-31|2199-12-31
42|172.25.124.244|3|188309|181183|Module|CPU of Switching Processor 5|CPU of Switching Processor|181183_10.114.8.3|Module|cevCpuCat6kWsSup720SP|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
43|172.25.124.244|3|188310|181183|Module|module 4|WS-X6148-RJ45V 48-port 10/100 mb RJ45 Rev. 3.0|181183_10.114.8.3|Module|cevCat6kWsx6148Rj45|Cisco Systems|SAL08207P78|WS-X6148-RJ45V|Unknown|Unknown|ok|0|48|0|\N|1|1899-12-31|2199-12-31
44|172.25.124.244|3|188312|181183|Module|module 7|WS-SVC-AON-1-K9 3 ports AON Module Rev. 2.0|181183_10.114.8.3|Module|zeroDotZero|Cisco Systems|SAD10300548|WS-SVC-AON-1-K9|V02|Unknown|other|0|0|0|\N|1|1899-12-31|2199-12-31
45|172.25.124.244|3|188313|181183|Module|module 8|WS-SVC-FWM-1 6 ports Firewall Module Rev. 3.0|181183_10.114.8.3|Module|cevCat6kWsSvcFwm1|Cisco Systems|SAD08330EVK|WS-SVC-FWM-1|Unknown|Unknown|ok|0|6|0|\N|1|1899-12-31|2199-12-31
46|172.25.124.244|4|188324|181185|Module|IM subslot 0/0|1-port Ten Gigabit Ethernet XFP Interface Module|181185_10.114.8.6|Module|cevIM1p10GeXfp|Cisco Systems Inc|FOC1746N1H0|A900-IMA1X|V02|Unknown|ok|0|0|0|\N|1|1899-12-31|2199-12-31
47|172.25.124.244|4|188326|181185|Module|subslot 0/0 transceiver 0|10GBASE-SR/SW|181185_10.114.8.6|Module|cevXFR10gMMSR|CISCO-OPNEXT|ONT1818000A|XFP-10G-MM-SR|02|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
48|172.25.124.244|4|188330|181185|Module|module R0|ASR 903 Route Switch Processor 1, Base Scale, 55Gbps|181185_10.114.8.6|Module|cevModuleASR903RSP1A|Cisco Systems Inc|FOC1749N14C|A903-RSP1A-55|V01|Unknown|ok|0|0|0|\N|1|1899-12-31|2199-12-31
49|172.25.124.244|4|188335|181185|Module|subslot 0/5 transceiver 2|GE SX|181185_10.114.8.6|Module|cevSFP1000BaseSx|CISCO-FINISAR|FNS11100M89|SFP-GE-S|A|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
50|172.25.124.244|4|188337|181185|Module|subslot 0/5 transceiver 1|GE SX|181185_10.114.8.6|Module|cevSFP1000BaseSx|CISCO-FINISAR|FNS15410S1B|SFP-GE-S|B|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
