date_key,year,week_number,month_number,day_in_month,quarter_number,day_end_date,year_for_week
528,2016,5,2,2,1,2016-02-02,2016
529,2016,5,2,3,1,2016-02-03,2016
530,2016,5,2,4,1,2016-02-04,2016
531,2016,5,2,5,1,2016-02-05,2016
532,2016,5,2,6,1,2016-02-06,2016
533,2016,5,2,7,1,2016-02-07,2016
534,2016,6,2,8,1,2016-02-08,2016
535,2016,6,2,9,1,2016-02-09,2016
536,2016,6,2,10,1,2016-02-10,2016
537,2016,6,2,11,1,2016-02-11,2016
538,2016,6,2,12,1,2016-02-12,2016
539,2016,6,2,13,1,2016-02-13,2016
540,2016,6,2,14,1,2016-02-14,2016
541,2016,7,2,15,1,2016-02-15,2016
542,2016,7,2,16,1,2016-02-16,2016
543,2016,7,2,17,1,2016-02-17,2016
544,2016,7,2,18,1,2016-02-18,2016
545,2016,7,2,19,1,2016-02-19,2016
546,2016,7,2,20,1,2016-02-20,2016
547,2016,7,2,21,1,2016-02-21,2016
548,2016,8,2,22,1,2016-02-22,2016
549,2016,8,2,23,1,2016-02-23,2016
550,2016,8,2,24,1,2016-02-24,2016
551,2016,8,2,25,1,2016-02-25,2016
552,2016,8,2,26,1,2016-02-26,2016
553,2016,8,2,27,1,2016-02-27,2016
554,2016,8,2,28,1,2016-02-28,2016
555,2016,9,2,29,1,2016-02-29,2016
556,2016,9,3,1,1,2016-03-01,2016
557,2016,9,3,2,1,2016-03-02,2016
558,2016,9,3,3,1,2016-03-03,2016
559,2016,9,3,4,1,2016-03-04,2016
560,2016,9,3,5,1,2016-03-05,2016
561,2016,9,3,6,1,2016-03-06,2016
562,2016,10,3,7,1,2016-03-07,2016
563,2016,10,3,8,1,2016-03-08,2016
564,2016,10,3,9,1,2016-03-09,2016
565,2016,10,3,10,1,2016-03-10,2016
566,2016,10,3,11,1,2016-03-11,2016
567,2016,10,3,12,1,2016-03-12,2016
568,2016,10,3,13,1,2016-03-13,2016
569,2016,11,3,14,1,2016-03-14,2016
570,2016,11,3,15,1,2016-03-15,2016
571,2016,11,3,16,1,2016-03-16,2016
572,2016,11,3,17,1,2016-03-17,2016
573,2016,11,3,18,1,2016-03-18,2016
574,2016,11,3,19,1,2016-03-19,2016
575,2016,11,3,20,1,2016-03-20,2016
576,2016,12,3,21,1,2016-03-21,2016
577,2016,12,3,22,1,2016-03-22,2016
578,2016,12,3,23,1,2016-03-23,2016
579,2016,12,3,24,1,2016-03-24,2016
580,2016,12,3,25,1,2016-03-25,2016
581,2016,12,3,26,1,2016-03-26,2016
582,2016,12,3,27,1,2016-03-27,2016
583,2016,13,3,28,1,2016-03-28,2016
584,2016,13,3,29,1,2016-03-29,2016
585,2016,13,3,30,1,2016-03-30,2016
586,2016,13,3,31,1,2016-03-31,2016
587,2016,13,4,1,2,2016-04-01,2016
588,2016,13,4,2,2,2016-04-02,2016
589,2016,13,4,3,2,2016-04-03,2016
590,2016,14,4,4,2,2016-04-04,2016
591,2016,14,4,5,2,2016-04-05,2016
592,2016,14,4,6,2,2016-04-06,2016
593,2016,14,4,7,2,2016-04-07,2016
594,2016,14,4,8,2,2016-04-08,2016
595,2016,14,4,9,2,2016-04-09,2016
596,2016,14,4,10,2,2016-04-10,2016
597,2016,15,4,11,2,2016-04-11,2016
598,2016,15,4,12,2,2016-04-12,2016
599,2016,15,4,13,2,2016-04-13,2016
600,2016,15,4,14,2,2016-04-14,2016
601,2016,15,4,15,2,2016-04-15,2016
602,2016,15,4,16,2,2016-04-16,2016
